,ingredient,chemComp
300,chutney,
301,celery,"coumarin|(+)-isodihydrocarvone|Angelic acid|Thymol|Methyl Benzoate|d-Piperitone|3-Hexanone|Geraniol|Carvyl Acetate|alpha-Maltose|Chrysoeriol|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|methanethiol|daidzein|Santalol, alpha- and beta-|Pyridine|benzaldehyde|benzyl alcohol|Butylidenephthalide|alpha-L-Sorbopyranose|DL-Liquiritigenin|6,10,14-Trimethylpentadecan-2-one|alpha-TERPINEOL|3-Carene|1,3,5-Undecatriene|Butylphthalide|phloretin|DL-Tartaric acid|Sabinene|gamma-Decalactone|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|Heptanoic Acid|guaiacol|salicylic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Undecanal|Vitamin U|Carveol|Isoeugenol|Sedanenolide|UNII-R1AUQ945JN|(+)-alpha-Terpineol|betaine|Phenethyl acetate|Phenylacetic Acid|gamma-Eudesmol|cis-3-Hexenal|cinnamaldehyde|4'-Methylacetophenone|Pentanal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-methyl-3-[4-(propan-2-yl)cyclohex-1-en-1-yl]propanal|2-Phenylethanol|Terpinen-4-ol|Ocimene|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|methoxsalen|Terpinyl propionate|Pinocarveol|(5xi,7xi,10xi)-eudesma-4(14),11-diene|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Propionaldehyde|Dihydrocarveol|Myrtenal|Falcarindiol|Perillaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|cis-limonene 1,2 oxide|Decyl Acetate|cis-3-Hexenyl pyruvate|indole|Tributyrin|calcium lactate|Myrtenol|2,3-butanedione|Citronellal|Myristicin|Dodecanal|2-Methoxy-4-vinylphenol|Alpha-Ionone|isoliquiritigenin|Cinnamic Acid|Farnesal|Valeric acid|Neryl acetate|3,4-Dihydroxybenzaldehyde|Neryl butyrate|Isorhamnetin|Methyl Linoleate|Sedanolide|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Piperitone|Citral|palmitic acid|Cedr-8-ene|Isobutyric Acid|gamma-Dodecalactone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|1-Hexanol|1-Heptanol|Beta-Elemene|Dipentene|hydrogen sulfide|Isovaleric Acid|(-)-cis-Carveol|Ethyl Isovalerate|CID 644104|Taxifolin|Propylamine|D-mannitol|2-Pentanone|Gamma-Terpinene|indole-3-acetic acid|Carvone|Isoquercitrin|(Z)-Beta-Ocimene|Valerophenone|Linalyl Acetate|p-Menth-8-ene-1,2-diol|1-Pyrroline|Caryophyllene oxide|Menthone|Elemol|Geranyl Acetate|cis-3-Hexenyl acetate|Amylamine|Alpha-Phellandrene|7-Methoxycoumarin|Dihydrocarvone|Isopulegone|Allyl Alcohol|Apiole|Beta-Phellandrene|Dihydrocarvyl acetate|Pyrrolidine|Alpha-Terpinene|dimethyl sulfide|(Z)-Hex-3-en-1-ol|naringenin|Isobutyraldehyde|Alpha-Terpinyl Acetate|P-Cymene|6-Methyl-5-Hepten-2-One|Tiglic Acid|quercetin|(+)-trans-Limonene oxide|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|beta-Eudesmol|Citronellyl acetate|Acetophenone|Verbenol|hydrogen cyanide|Benzyl Benzoate|24168-70-5|Geranyl butyrate|trans-3-Hexen-1-ol|Pyruvic acid|trans-Anethole|oleic acid|Ethyl Acetate|4-Hexen-3-One|Neral|cis-Carvyl acetate|2-Furaldehyde|3-Methyl-2-butenal|3-Pentanone|2-Pentylfuran|D-Limonene|Myrcene|Heptanal|Alpha-Pinene|acetone|methylglyoxal|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|Fenchol|gamma-Selinene|luteolin|Valencene|p-coumaric acid|Linalool|Piperidine|gamma-Terpineol"
302,lentil,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|(-)-Epigallocatechin|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|resveratrol|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|Cianidanol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|3,7,4'-Trihydroxyflavone|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
303,sweet corn,
304,corn,"1-Popc|Octan-2-ol|coumarin|Thymol|Methyl Benzoate|Vanillic acid|AC1L9CNW|3-Hexanone|2-Decanone|Geraniol|alpha-Maltose|Chrysoeriol|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Pyrazine|Phlorizin|(-)-Epigallocatechin|L-Rhamnose|methanethiol|6-Methylhepta-3,5-dien-2-one|daidzein|benzaldehyde|2-Hexanone|benzyl alcohol|2-Methylpyrazine|alpha-L-Sorbopyranose|DL-Liquiritigenin|6,10,14-Trimethylpentadecan-2-one|3-Octen-2-One|phloretin|DL-Tartaric acid|2,6-Dimethylpyrazine|Aconitic Acid|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|naphthalene|2-Methyl-5-Vinylpyrazine|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|L-histidine|hydrogen peroxide|4a(2H)-Naphthol, octahydro-4,8a-dimethyl-|Undecanal|2-Ethylpyrazine|Beta-Ionone|Isoeugenol|(+)-alpha-Terpineol|betaine|Phenethyl acetate|Eucalyptol|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|2-Pentanol|2-Hexanol|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|2-Heptanone|1-Octen-3-Ol|2-Phenylethanol|2-Methyl-3-Pentanone|(+)-Neomenthol|succinic acid|(Z)-Ethyl cinnamate|NSC5112|Nonanal|2-Acetylthiazole|Isopropylamine|2-Ethylhexan-1-ol|acetoin|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|methoxsalen|alpha-Muurolene|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|propyl gallate|2-Undecanol|2-(4-Hydroxyphenyl)ethanol|lactic acid|Nerylacetone|(+)-delta-Cadinene|Acrolein|indole|Tributyrin|Dl-Phenylalanine|calcium lactate|2,3-butanedione|13679-85-1|2-Methoxy-4-vinylphenol|Methyl Phenylacetate|isoliquiritigenin|2-Methoxy-4-Methylphenol|Cinnamic Acid|Farnesal|Biphenyl|3,4-Dihydroxybenzaldehyde|Ethanamine|3-Methylbutanal|farnesol|Daidzin|(2E,4E)-deca-2,4-dienal|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|2-Nonanone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Pyrrole|L-phenylalanine|kaempferol|Octan-2-one|1-Heptanol|Dipentene|1,2,4-Trimethylbenzene|hydrogen sulfide|Ethyl Phenylacetate|CID 644104|1-Nonanol|Taxifolin|2-Heptanol|D-mannitol|2-Ethylbutanal|indole-3-acetic acid|Isoquercitrin|L-lysine|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Allyl Alcohol|Cianidanol|Pyrrolidine|Syringaldehyde|l-Menthol|2,3-Diethyl-5-Methylpyrazine|2-Ethyl-3,5-Dimethylpyrazine|naringenin|Isoamylamine|Isobutyraldehyde|4-Ethyl-2-methoxyphenol|1,2-Dimethoxybenzene|6-Methyl-5-Hepten-2-One|4-Vinylphenol|quercetin|3-(Methylthio)propionaldehyde|Octanal|1-Hexen-3-Ol|Thiamine Hydrochloride|L-aspartic acid|hydrogen cyanide|Benzyl Benzoate|Bisabolol|methyl salicylate|2-Nonanol|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Gallocatechin|2-Furaldehyde|Diethylamine|2-Undecanone|3-Methyl-2-butenal|trans,trans-2,4-Heptadienal|3-Pentanone|trans-2-Octenal|2-Pentylfuran|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|beta-cis-farnesene|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|4-Ethylphenol|Longifolene|gamma-Nonanolactone|Tridecanal|p-coumaric acid|Acetovanillone|Linalool|Carvacrol"
305,fries,
306,bouillon,Thiamine Hydrochloride|CID 644104|Heptanoic Acid
307,swiss cheese,"Isoamyl butyrate|Octan-2-ol|Isopentyl hexanoate|Delta-Decalactone|2-Methylbutyraldehyde|Styrene|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|Ethyl Formate|Isobutyric Acid|Ethyl 3-methylpentanoate|3-Octanol|Methyl Acetate|2-Nonanone|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Pyrazine|gamma-Dodecalactone|butyric acid|4-Methylpentanoic Acid|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|Ethyl Isovalerate|1-Nonanol|2-Heptanol|2-Pentanone|trimethylamine|Ethyl caproate|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Hexanal|1-octanol|gamma-Caprolactone|2,3,5,6-Tetramethylpyrazine|Heptanoic Acid|salicylic acid|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|Dimethyl disulfide|Methyl Dodecanoate|Beta-Pinene|2,3,5-Trimethylpyrazine|phenol|3-Hydroxy-2-Pentanone|Methyl octanoate|Hexanoic Acid|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Phenethyl acetate|S-Methyl 3-methylbutanethioate|Isopentyl octanoate|ethanol|Phenylacetic Acid|Isobutyraldehyde|Isoamylamine|2-Ethyl-3,5-Dimethylpyrazine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|2-Pentanol|1-Dodecanol|Pentanal|Ethyl methyl disulfide|stearic acid|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|2-Heptanone|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|Butyl isobutyrate|Dimethyl trisulfide|phenylacetaldehyde|24168-70-5|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|2-Pentadecanone|3-Methyl-1-butanol|oleic acid|Propionaldehyde|S-Methyl propanethioate|Hexyl acetate|3658-77-3|S-Methyl thiobutyrate|Decanoic acid|L-arginine|3-Methylindole|2-Undecanone|2-Tridecanone|1-propanol|lactic acid|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Alpha-Pinene|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|1-butanol|delta-Octanolactone|2,3,5-Trithiahexane|3-Methyl-2-Butanol|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal|gamma-Valerolactone"
308,carrot,"1-Popc|coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|(-)-Epigallocatechin|L-Rhamnose|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|3-Carene|phloretin|Carotol, (+)-|DL-Tartaric acid|Sabinene|gamma-Decalactone|Beta-Caryophyllene|resveratrol|Hexanal|Linamarin|2-Methyl-1-Butanol|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene|Undecanal|Beta-Ionone|Isoeugenol|(+)-alpha-Terpineol|betaine|Phenethyl acetate|chrysin|ethanol|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Pentanal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|Bisabolene|2-Phenylethanol|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|3-Thujene|apigenin|Geranylacetone|phenylacetaldehyde|trans-2-Hexen-1-Ol|methoxsalen|(5xi,7xi,10xi)-eudesma-4(14),11-diene|D-Camphor|5-Methylfurfural|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|Falcarindiol|(E)-gamma-Bisabolene|2-(4-Hydroxyphenyl)ethanol|Nerylacetone|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Dl-Phenylalanine|calcium lactate|2,3-butanedione|Myristicin|Dodecanal|2-Methoxy-4-vinylphenol|Alpha-Ionone|isoliquiritigenin|Cinnamic Acid|Farnesal|Bornyl Acetate|Biphenyl|3,4-Dihydroxybenzaldehyde|trans-.alpha.-bergaptene|Isorhamnetin|Ethanamine|3-Methylbutanal|farnesol|Elemicin|Daidzin|(2E,4E)-deca-2,4-dienal|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|Methyleugenol|Isobutyric Acid|CHEBI:49249|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|Octan-2-one|Beta-Elemene|Dipentene|Borneol|CID 644104|Taxifolin|D-mannitol|2-Pentanone|Gamma-Terpinene|indole-3-acetic acid|Isoquercitrin|Carvone|Dl-Methionine|1-Pyrroline|Menthone|cis-Cinnamic acid|Geranyl Acetate|cis-3-Hexenyl acetate|Alpha-Phellandrene|Allyl Alcohol|Phenethylamine|Cianidanol|Beta-Phellandrene|Pyrrolidine|Alpha-Terpinene|dimethyl sulfide|naringenin|Isobutyraldehyde|Curcumene|Alpha-Terpinyl Acetate|P-Cymene|6-Methyl-5-Hepten-2-One|2-Isopropyl-3-Methoxypyrazine|cis-Methylisoeugenol|Tiglic Acid|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|Citronellyl acetate|2-(4-methylphenyl)propan-2-ol|L-aspartic acid|hydrogen cyanide|Benzyl Benzoate|2-isopropyl-6-methoxypyrazine|24168-70-5|Geranyl formate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Gallocatechin|butyraldehyde|3-Methyl-2-butenal|3-Pentanone|Nopol|trans-2-Decenal|Lycopene|(4R,4aR)-1,1,4,7-tetramethyl-1a,2,3,4,4a,5,6,7b-octahydrocyclopropa[e]azulene|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|beta-cis-farnesene|trans-2-Nonenal|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|4-isopropylbenzaldehyde|Geranyl isobutyrate|p-coumaric acid|Linalool"
309,kadhi,
310,soy,"122-40-7|(2E,4E)-Undeca-2,4-dienal|Octan-2-ol|Pentane|1-Popc|coumarin|Daidzin|Styrene|2-Methylbutyraldehyde|(2E,4E)-deca-2,4-dienal|3-methylthiopropanol|Methyl Benzoate|Citral|2-Methyl-1-propanol|Vanillic acid|1-Methylnaphthalene|palmitic acid|3-Hexanone|Geraniol|2-Ethyl-5-Methylpyrazine|2-Ethylfuran|taurine|3-Octanol|alpha-Maltose|Methyl Acetate|2-Nonanone|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Pyrazine|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|4-Methylpentanoic Acid|kaempferol|Tiglic aldehyde|methanethiol|Octan-2-one|1-Hexanol|Dl-Alanine|1-Heptanol|Pyridine|2-Undecenal|Maltol|daidzein|benzaldehyde|23726-92-3|Coumestrol|benzyl alcohol|hydrogen sulfide|trans,trans-2,4-Nonadienal|Isovaleric Acid|2-Methylpyrazine|alpha-L-Sorbopyranose|Glutaric Acid|2-Acetylpyrrole|DL-Liquiritigenin|CID 644104|1-Nonanol|Taxifolin|2-Heptanol|2-Phenyl-2-Butenal|3-Octen-2-One|2-Pentanone|D-mannitol|Dec-4-enal|indole-3-acetic acid|2,5-Diethyl-3-Methylpyrazine|2-Butenoic acid, hexyl ester|Isoquercitrin|phloretin|1-Pyrroline|2,6-Dimethylpyrazine|Menthone|Ethyl Butyrate|Isopropyl Acetate|Hexanal|Damascenone|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|1-octanol|2,3,5,6-Tetramethylpyrazine|3-Hexanol|guaiacol|cis-3-Hexenyl acetate|isopropanol|Furfuryl Alcohol|Heptanoic Acid|salicylic acid|vanillin|Butyl butyrate|Dimethyl disulfide|(Z)-cinnamyl alcohol|2,3-Hexanedione|Beta-Pinene|2,3-Pentanedione|2,3,5-Trimethylpyrazine|phenol|Ethyl Vinyl Ketone|cinnamyl alcohol|Allyl Alcohol|Cianidanol|hydrogen peroxide|2-Ethylpyrazine|2,3-Heptanedione|Hexanoic Acid|Alpha-Terpinene|2-Ethyl-3-Methylpyrazine|Pentyl Hexanoate|dimethyl sulfide|Isoeugenol|betaine|Fisetin|Decanal|Phenethyl acetate|Salicylaldehyde|2-Ethyl-3,5-Dimethylpyrazine|Phenylacetic Acid|Isobutyraldehyde|naringenin|Butylamine|cis-3-Hexenal|cinnamaldehyde|4'-Methylacetophenone|trans-2-Hexenal|2-Pentanol|Pentanal|Sinapic Acid|stearic acid|2,5-Dimethylpyrazine|6-Methyl-5-Hepten-2-One|dimethyl sulfoxide|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|4-Vinylphenol|2-Heptanone|quercetin|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|Ocimene|(+)-Neomenthol|Cyclohexyl Acetate|succinic acid|Octanal|2,3-Dimethylpyrazine|NSC5112|Nonanal|Thiamine Hydrochloride|Isopropylamine|alpha-Angelica lactone|2,4-Hexadien-1-Ol|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|Butyl acetate|Thiazole|4-Hydroxybenzoic Acid|cis-Jasmone|trans-3-Hexen-1-ol|5-Methylfurfural|thiamine|2-Pentadecanone|3-Methyl-1-butanol|3-Phenylpropanoic acid|Ethyl Acetate|Propionaldehyde|4-Hexen-3-One|Benzalacetone|Neral|Hexyl acetate|butyraldehyde|trans-Aconitic acid|2-Furaldehyde|3-Methyl-2-butenal|trans,trans-2,4-Heptadienal|3-Pentanone|gamma-Butyrolactone|1-Octen-3-One|2-Furylacetone|1-propanol|2-(4-Hydroxyphenyl)ethanol|trans-2-Decenal|trans-2-Octenal|2-Pentylfuran|Acrolein|(+)-delta-Cadinene|p-Tolyl isovalerate|indole|2,4-Hexadienal|Tributyrin|Heptanal|Alpha-Pinene|calcium lactate|acetone|Isoamyl Acetate|2-Butanone|2,3-butanedione|2-Methoxy-4-vinylphenol|trans-2-Nonenal|D-Lactic acid|isoliquiritigenin|3-Methyl-2-Cyclopenten-1-One|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|Isoflavone|gamma-Nonanolactone|3-Methyl-2-Butanol|Ethyl Cinnamate|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|p-coumaric acid|Ethanamine|1-Penten-3-Ol|Piperidine|Nonanoic Acid|propionic acid|Bovolide|3-Methylbutanal|farnesol"
311,tofu,Daidzin|daidzein|Coumestrol|thiamine|betaine|NSC5112|Thiamine Hydrochloride|CID 644104|Heptanoic Acid
312,kale,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
313,paneer,"2-Furaldehyde|Pentanal|Allene|1-propanol|2-Heptanone|1,3-Butadiene|55896-93-0|Isobutyric Acid|Dodecylbenzene|Nonanal|acetoin|Heptanal|acetone|acetaldehyde|butyric acid|2,3-butanedione|2-Butanone|dimethylamine|2-Ethylpyrazine|Hexanoic Acid|Allyl radical|dimethyl sulfide|Propionaldehyde|5-Nonanone|ethanol|propionic acid|3-Methylfuran|2564-86-5|butyraldehyde"
314,vinegar,"4-Methyl-2-pentanone|2-Methylbutyl Acetate|gamma-Butyrolactone|2-Pentyl Acetate|Styrene|acetic acid|1-propanol|Methyl Benzoate|quercetin|2-Methyl-1-propanol|2-(4-Hydroxyphenyl)ethanol|Ethyl Lactate|resveratrol|Vanillic acid|Isopentyl benzoate|Ethyl Formate|Thiamine Hydrochloride|Heptanoic Acid|Methyl Acetate|2-Phenylethyl formate|vanillin|caftaric acid|Isoamyl Acetate|phenylacetaldehyde|Isopentyl formate|2,3-butanedione|3,4-Dihydroxybenzoic Acid|4-hydroxybenzaldehyde|Propyl acetate|Cianidanol|2-Methylbutanoic acid|Isobutyl Acetate|thiamine|Isovaleric Acid|3,4-Dihydroxybenzaldehyde|Syringaldehyde|3-Methyl-1-butanol|3,4-Dimethylphenol|Phenethyl acetate|CID 644104|Propionaldehyde|Isobutyl Formate|2-Pentanone|Isobutyraldehyde|propionic acid|3-Methylbutanal|(-)-Epicatechin|Isoquercitrin|2-Pentanol"
